  101 ! (c) 2018 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2018 04 13 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110     0     40   29.7   11.9   11.7   163    8.5    1.7   15.5    0.00   952.78   152   29.6    9.6   20.1   23.7   22.9   15.6   13.4    1.83    1.52    1.49
 ADAX     1     0     58   25.0    8.6    8.3   174   14.5    2.2   14.1    0.00   967.55   147   24.9    6.3   17.6   24.3   18.3   15.8   -998    1.53    1.52    -998
 ALTU     2     0     22   34.3   12.9   12.9   165    6.0    1.6   15.9    0.00   947.79   163   34.0   10.3   20.6   23.3   21.1   17.1   -998    3.35    2.47    -998
 ALV2   116     0     18   33.7    7.7    7.6   182    7.2    1.8   11.6    0.00   941.62   143   34.1    6.1   15.7   24.2   17.3   13.6   -998    1.97    1.75    -998
 ANT2   135     0     52   25.6    6.2    6.0   164   14.5    1.8    9.9    0.00   984.24   136   25.5    4.9   17.2   20.2   18.1   15.1   14.0    1.54    1.40    1.34
 APAC   111     0     40   29.8   12.5   12.4   164    7.1    1.8   16.8    0.00   947.38   155   29.9    9.0   18.8   24.8   23.8   16.4   13.1    1.61    1.45    1.84
 ARD2   126     0     59   25.4    9.3    9.2   176    9.1    1.9   14.9    0.00   970.89   146   25.2    7.6   21.3   24.0   22.8   16.6   14.9    1.75    1.43    1.55
 ARNE     6     0      4   34.8    9.6    9.4   225    9.6    2.2   15.0    0.00   913.18   215   34.7    6.4   24.7   27.9   26.5   18.2   14.1    3.03    2.31    2.52
 BEAV     8     0      6   33.1    9.8    9.7   230    6.7    1.5   13.5    0.00   906.99   129   33.4    6.7   22.7   22.4   -999   16.9   13.3    3.12    2.66    2.70
 BESS     9     0     26   32.7   11.6   11.6   163    7.3    1.9   17.0    0.00   936.81   169   32.4    9.2   23.7   25.7   26.2   16.8   -998    3.61    3.79    -998
 BIXB    10     0     54   25.5   11.4   11.3   176    6.2    1.5   15.2    0.00   979.08   133   25.6    9.7   15.3   19.6   17.2   11.8   11.2    1.76    1.46    1.52
 BLAC    11     0     42   28.6   11.3   11.2   168    6.8    1.2   13.7    0.00   960.08   133   28.7    9.5   12.6   21.1   14.8   11.4   10.6    2.61    1.89    1.50
 BOIS    12     0      7   29.4   12.9   12.8   227    7.1    1.5   16.4    0.00   855.07   269   29.2   10.1   16.6   21.1   16.8   13.6   11.6    3.87    3.46    2.79
 BOWL    13     0     58   24.9    7.8    7.6   177   12.8    1.7   11.9    0.00   968.89    55   25.0    6.1   20.4   24.3   21.0   16.5   13.7    1.78    1.32    1.39
 BREC    14     0     44   28.5   10.6   10.5   164    8.0    1.8   15.2    0.00   954.93    82   28.6    8.0   16.8   23.8   17.3   13.1   11.3    2.51    3.04    2.77
 BRIS    15     0     56   25.4    8.6    8.4   180   13.6    2.1   14.0    0.00   972.46   144   25.5    6.7   15.7   20.6   16.1   12.8   11.7    1.56    1.56    1.44
 BROK   124     0     50   26.0    3.4    3.2   167   20.8    1.1    6.8    0.00   992.93   118   26.4    2.9   18.8   20.7   18.0   -998   -998    1.43    -998    -998
 BUFF    16     0      4   35.9    9.5    9.3   220   11.3    2.1   15.6    0.00   928.17   213   35.9    6.4   21.9   25.1   23.9   16.6   13.9    3.42    2.34    2.44
